template,frequency
"The [X], who maintained a standard, is [Y]",1
"The [X], who put PEOPLE, is [Y]",1
"The [X], who appealed to brains, is [Y]",1
"The [X], who had to own TRADEMARKS, is [Y]",1
"The [X], who stood head, is [Y]",1
"The [X], who retained a freshness, is [Y]",1
"The [X], who counted ON FRANCIS, is [Y]",1
"The [X], who was an artist, is [Y]",1
"The [X], who requested help, is [Y]",1
"The [X], who delivered THE PEOPLE, is [Y]",1
"The [X], who showed, is [Y]",4
"The [X], who wanted to believe him, is [Y]",1
"The [X], who had the chance, is [Y]",2
"The [X], who led to pick him, is [Y]",1
"The [X], who seemed TO TURN, is [Y]",1
"The [X], who became involved with a family, is [Y]",1
"The [X], who catered a soiree, is [Y]",1
"The [X], who was savored with pleasure, is [Y]",1
"The [X], who came TO GRIEF, is [Y]",1
"The [X], who was aware, is [Y]",4
"The [X], who was reported as the publisher, is [Y]",1
"The [X], who was a trademark of Inc., is [Y]",1
"The [X], who was reproduced in whole, is [Y]",1
"The [X], who was trademarks, is [Y]",1
"The [X], who told a story, is [Y]",1
"The [X], who told it, is [Y]",1
"The [X], who was brief, is [Y]",2
"The [X], who sunk the terror, is [Y]",1
"The [X], who watched the play, is [Y]",1
"The [X], who closed the curtains, is [Y]",1
"The [X], who tried the house, is [Y]",1
"The [X], who minded the contents, is [Y]",1
"The [X], who liked to cut the tale, is [Y]",1
"The [X], who was longer, is [Y]",1
"The [X], who was recent, is [Y]",1
"The [X], who met few friends, is [Y]",1
"The [X], who was new, is [Y]",2
"The [X], who arose as all, is [Y]",1
"The [X], who went, is [Y]",16
"The [X], who led, is [Y]",2
"The [X], who leaved it, is [Y]",2
"The [X], who held an draw, is [Y]",1
"The [X], who meant four, is [Y]",1
"The [X], who was wife, is [Y]",2
"The [X], who took turns, is [Y]",1
"The [X], who drew, is [Y]",1
"The [X], who thought d fiddle, is [Y]",1
"The [X], who appeared in Field, is [Y]",1
"The [X], who put champagne into the cooler, is [Y]",1
"The [X], who had an way, is [Y]",1
"The [X], who was invented for the entertainment, is [Y]",1
"The [X], who was put into fact, is [Y]",1
"The [X], who was a change in security, is [Y]",1
"The [X], who scratched worth, is [Y]",1
"The [X], who sprawled in the armchair, is [Y]",1
"The [X], who put a stint, is [Y]",1
"The [X], who sat the windows, is [Y]",1
"The [X], who was of the opinion, is [Y]",1
"The [X], who brought unemployment to a art, is [Y]",1
"The [X], who leaved her, is [Y]",1
"The [X], who waited without emotion, is [Y]",1
"The [X], who was in childhood, is [Y]",2
"The [X], who felt at home, is [Y]",1
"The [X], who watched the 2:30, is [Y]",1
"The [X], who was any good, is [Y]",1
"The [X], who was short had cut, is [Y]",1
"The [X], who was a wheeze, is [Y]",1
"The [X], who sold subscriptions, is [Y]",1
"The [X], who worked the idea, is [Y]",1
"The [X], who watched the oclock, is [Y]",1
"The [X], who laughed, is [Y]",1
"The [X], who slapped thigh, is [Y]",1
"The [X], who stood to bear the audacity, is [Y]",1
"The [X], who was the intelligent of men, is [Y]",2
"The [X], who took briefcase, is [Y]",1
"The [X], who was typical of the mismanagement, is [Y]",1
"The [X], who was chosen the deadlock, is [Y]",1
"The [X], who acquired to thwart a administrator, is [Y]",1
"The [X], who was impulsive, is [Y]",1
"The [X], who was lazy, is [Y]",1
"The [X], who wasted time, is [Y]",1
"The [X], who repeated Bellamy, is [Y]",1
"The [X], who started, is [Y]",7
"The [X], who glared round, is [Y]",1
"The [X], who cost money, is [Y]",4
"The [X], who spoke Bellamy, is [Y]",1
"The [X], who darkened with fury, is [Y]",1
"The [X], who was hooligans, is [Y]",1
"The [X], who found inclined to stick tours, is [Y]",1
"The [X], who meant could walk the way, is [Y]",1
"The [X], who meant keys, is [Y]",1
"The [X], who thought the quo, is [Y]",1
"The [X], who rose around him, is [Y]",1
"The [X], who waited resignedly for a gap, is [Y]",1
"The [X], who turned towards him, is [Y]",1
"The [X], who was constructive, is [Y]",1
"The [X], who said, is [Y]",35
"The [X], who had to take an man, is [Y]",1
"The [X], who was maintenance, is [Y]",1
"The [X], who did to a racetrack, is [Y]",1
"The [X], who stilled the waters, is [Y]",1
"The [X], who conceded a deal, is [Y]",1
"The [X], who happened to date, is [Y]",1
"The [X], who happened in future, is [Y]",1
"The [X], who grumbled, is [Y]",2
"The [X], who went to the races, is [Y]",3
"The [X], who was a recon, is [Y]",1
"The [X], who occurred to him, is [Y]",3
"The [X], who had a sights, is [Y]",1
"The [X], who bossed, is [Y]",1
"The [X], who downed pints, is [Y]",1
"The [X], who looked at the horses, is [Y]",1
"The [X], who chuckled way, is [Y]",1
"The [X], who sold two tickets, is [Y]",1
"The [X], who was on job, is [Y]",1
"The [X], who treated her, is [Y]",2
"The [X], who adapted contentedly to life, is [Y]",1
"The [X], who drained away in the struggle, is [Y]",1
"The [X], who solved problems, is [Y]",1
"The [X], who was impossible, is [Y]",6
"The [X], who was collected, is [Y]",1
"The [X], who sighed to resign herself, is [Y]",1
"The [X], who dressed himself, is [Y]",1
"The [X], who stacked beans, is [Y]",1
"The [X], who was confident, is [Y]",1
"The [X], who gave the look, is [Y]",1
"The [X], who had two inches, is [Y]",1
"The [X], who smirked at transformation, is [Y]",1
"The [X], who made round, is [Y]",1
"The [X], who resulted also in the contingent, is [Y]",1
"The [X], who said it, is [Y]",1
"The [X], who travelled to the track, is [Y]",1
"The [X], who looked out the window, is [Y]",1
"The [X], who was immersed in the routine, is [Y]",1
"The [X], who tidied drawer, is [Y]",1
"The [X], who formed the job, is [Y]",1
"The [X], who was in office, is [Y]",1
"The [X], who rung for the time, is [Y]",1
"The [X], who picked the receiver, is [Y]",2
"The [X], who began speaking, is [Y]",1
"The [X], who could you, is [Y]",2
"The [X], who ed noise, is [Y]",1
"The [X], who heard you, is [Y]",1
"The [X], who repeated message, is [Y]",1
