template,frequency
"The [X], who speeded The Track, is [Y]",1
"The [X], who pulled, is [Y]",5
"The [X], who ed Gon, is [Y]",2
"The [X], who hit That Cat, is [Y]",1
"The [X], who got ta Go, is [Y]",1
"The [X], who came, is [Y]",306
"The [X], who was Good, is [Y]",1
"The [X], who got Run, is [Y]",1
"The [X], who got Wheels, is [Y]",1
"The [X], who beat You, is [Y]",2
"The [X], who could, is [Y]",27
"The [X], who ed Good, is [Y]",2
"The [X], who thanked You, is [Y]",12
"The [X], who weighed 1,700 Pounds, is [Y]",1
"The [X], who went, is [Y]",163
"The [X], who withstood Crashes, is [Y]",1
"The [X], who went 60, is [Y]",1
"The [X], who had A Suit, is [Y]",1
"The [X], who gave A Rest, is [Y]",1
"The [X], who liked To Ganged, is [Y]",1
"The [X], who thought Dangerous, is [Y]",1
"The [X], who got Ready For Bed, is [Y]",1
"The [X], who was That Big Of A Witch, is [Y]",1
"The [X], who scarred Me, is [Y]",2
"The [X], who kept Them, is [Y]",1
"The [X], who wanted To Do, is [Y]",2
"The [X], who ed A Difference, is [Y]",2
"The [X], who was So Against It, is [Y]",1
"The [X], who wanted To Take Lessons, is [Y]",1
"The [X], who was Killed Playing, is [Y]",1
"The [X], who let It, is [Y]",3
"The [X], who drove Dragsters, is [Y]",1
"The [X], who got It, is [Y]",13
"The [X], who saw It, is [Y]",3
"The [X], who thought A Idea, is [Y]",2
"The [X], who let A Girl, is [Y]",1
"The [X], who let Wait Until The End, is [Y]",1
"The [X], who told Me, is [Y]",6
"The [X], who was To Win, is [Y]",2
"The [X], who was A Girl, is [Y]",1
"The [X], who guessed The Color, is [Y]",1
"The [X], who was Fine, is [Y]",9
"The [X], who did Best, is [Y]",1
"The [X], who had A Race, is [Y]",4
"The [X], who wanted To Win That, is [Y]",1
"The [X], who did It, is [Y]",6
"The [X], who said That, is [Y]",1
"The [X], who thought The Thing, is [Y]",1
"The [X], who told You, is [Y]",5
"The [X], who waited, is [Y]",66
"The [X], who was To Win That, is [Y]",1
"The [X], who loved This Car, is [Y]",1
"The [X], who ed Some Things On This Car, is [Y]",1
"The [X], who was Different From The One, is [Y]",1
"The [X], who was Sensitive Than The One, is [Y]",1
"The [X], who knew This, is [Y]",1
"The [X], who stopped Rolling, is [Y]",1
"The [X], who went A Work, is [Y]",1
"The [X], who went To Be Trophies, is [Y]",1
"The [X], who expected You, is [Y]",2
"The [X], who raced, is [Y]",1
"The [X], who was Serious About This, is [Y]",1
"The [X], who said, is [Y]",11
"The [X], who made A Contract, is [Y]",1
"The [X], who saw Some, is [Y]",1
"The [X], who kept In Mind, is [Y]",1
"The [X], who had Licenses, is [Y]",1
"The [X], who was The One, is [Y]",3
"The [X], who waited For, is [Y]",3
"The [X], who was Enders, is [Y]",2
"The [X], who took The Position, is [Y]",1
"The [X], who went To Cry, is [Y]",1
"The [X], who was She, is [Y]",1
"The [X], who was It, is [Y]",6
"The [X], who let s Take Home, is [Y]",1
"The [X], who took A Box, is [Y]",1
"The [X], who was Great, is [Y]",3
"The [X], who went To Win, is [Y]",1
"The [X], who went Hands, is [Y]",1
"The [X], who ed A Jerk, is [Y]",1
"The [X], who ed The Point, is [Y]",2
"The [X], who was As Important, is [Y]",1
"The [X], who shook Hand, is [Y]",1
"The [X], who was Pretty, is [Y]",1
"The [X], who showed Me, is [Y]",2
"The [X], who showed, is [Y]",6
"The [X], who was nt For Girls, is [Y]",2
"The [X], who did Us, is [Y]",1
"The [X], who got, is [Y]",155
"The [X], who was Right, is [Y]",1
"The [X], who cut It, is [Y]",2
"The [X], who was Annoying, is [Y]",1
"The [X], who got To 5.0, is [Y]",1
"The [X], who let Me, is [Y]",3
"The [X], who did, is [Y]",127
"The [X], who took Me, is [Y]",1
"The [X], who got 5.35, is [Y]",1
"The [X], who was Boring, is [Y]",1
"The [X], who thought This Things, is [Y]",1
"The [X], who won The Time, is [Y]",2
"The [X], who was Like This, is [Y]",1
"The [X], who was na Put, is [Y]",1
"The [X], who was The Worth, is [Y]",1
"The [X], who put Yourself, is [Y]",1
"The [X], who sounded Stupid, is [Y]",1
"The [X], who did Laugh, is [Y]",1
"The [X], who willed, is [Y]",8
"The [X], who felt, is [Y]",6
"The [X], who ed I, is [Y]",3
"The [X], who was Little, is [Y]",1
"The [X], who saw Stuff, is [Y]",1
"The [X], who was Race, is [Y]",1
"The [X], who was An Alien, is [Y]",1
"The [X], who was Different Than Girls, is [Y]",1
"The [X], who was Difficult, is [Y]",1
"The [X], who got To Bed, is [Y]",1
"The [X], who did That, is [Y]",2
"The [X], who got To Drive One, is [Y]",1
"The [X], who got A Couple, is [Y]",1
"The [X], who forgot It, is [Y]",2
"The [X], who had The Kind, is [Y]",1
"The [X], who beat A Kid, is [Y]",1
"The [X], who did Mean, is [Y]",1
"The [X], who beat Me, is [Y]",2
"The [X], who beat By A Kid, is [Y]",1
"The [X], who cracked Me, is [Y]",1
"The [X], who took It, is [Y]",1
"The [X], who supposed To Take It, is [Y]",1
"The [X], who lost A Race, is [Y]",1
"The [X], who was Rare, is [Y]",1
"The [X], who moped, is [Y]",1
"The [X], who did A Favor, is [Y]",1
"The [X], who welcomed, is [Y]",14
"The [X], who let Go, is [Y]",6
"The [X], who won With A Time, is [Y]",1
"The [X], who was Held By, is [Y]",1
"The [X], who saw That, is [Y]",3
"The [X], who was Both, is [Y]",1
"The [X], who ed The Matter, is [Y]",1
"The [X], who ed All, is [Y]",1
"The [X], who wasted Putting, is [Y]",1
"The [X], who interviewed You For Magazine, is [Y]",1
"The [X], who talked To Sister, is [Y]",1
"The [X], who tried To Mess Hair, is [Y]",1
"The [X], who ed Sister, is [Y]",1
"The [X], who loved Her, is [Y]",1
"The [X], who drove Me, is [Y]",1
"The [X], who let Her, is [Y]",1
"The [X], who helped It, is [Y]",2
"The [X], who did It On Purpose, is [Y]",1
"The [X], who got Nervous, is [Y]",1
"The [X], who got Dry, is [Y]",1
"The [X], who knew What, is [Y]",3
"The [X], who tried, is [Y]",1
"The [X], who ed, is [Y]",53
"The [X], who was At Age, is [Y]",1
"The [X], who had A Advantage, is [Y]",1
"The [X], who had Her, is [Y]",1
"The [X], who took That, is [Y]",1
"The [X], who wanted To Wreck Life, is [Y]",1
"The [X], who got ta Have One, is [Y]",1
"The [X], who wrecked It, is [Y]",1
"The [X], who ed Boyfriend, is [Y]",1
"The [X], who got Learners, is [Y]",1
"The [X], who was Dragsters, is [Y]",1
"The [X], who was 8, is [Y]",1
"The [X], who got Them, is [Y]",2
"The [X], who pushed Eyeballs, is [Y]",1
"The [X], who checked It, is [Y]",1
"The [X], who thought Cool, is [Y]",1
"The [X], who drove A Car, is [Y]",1
