template,proportion
The [X] said that [Y],2142
The [X] stated that [Y],856
The [X] announced that [Y],641
The [X] claimed that [Y],438
The [X] wrote that [Y],246
The [X] revealed that [Y],179
The [X] believed that [Y],178
The [X] explained that [Y],175
The [X] admitted that [Y],144
The [X] felt that [Y],105
The [X] declared that [Y],104
The [X] realized that [Y],99
The [X] suggested that [Y],98
The [X] decided that [Y],93
The [X] thought that [Y],93
The [X] replied that [Y],89
The [X] noted that [Y],89
The [X] reported that [Y],83
The [X] confirmed that [Y],82
The [X] indicated that [Y],79
The [X] told that [Y],74
The [X] found that [Y],68
The [X] attended School [Y],68
The [X] knew that [Y],66
The [X] recalled that [Y],66
The [X] added that [Y],65
The [X] mentioned that [Y],64
The [X] insisted that [Y],63
The [X] argued that [Y],59
The [X] was one and [Y],57
The [X] commented that [Y],57
The [X] made that [Y],53
The [X] told him that [Y],48
The [X] discovered that [Y],46
The [X] denied that [Y],45
The [X] remarked that [Y],45
The [X] responded that [Y],43
The [X] was that [Y],43
The [X] was old [Y],39
The [X] confessed that [Y],37
The [X] learnt that [Y],36
The [X] testified that [Y],36
The [X] wrote a letter that [Y],35
The [X] was one [Y],35
The [X] was a member and [Y],35
The [X] maintained that [Y],34
The [X] was able [Y],34
The [X] gave a speech that [Y],32
The [X] was married [Y],32
The [X] promised that [Y],31
The [X] served on basis that [Y],31
The [X] acknowledged that [Y],30
The [X] was a member [Y],29
The [X] concluded that [Y],28
The [X] played a role that [Y],27
The [X] asserted that [Y],26
The [X] was able and [Y],25
The [X] told him [Y],24
The [X] was impressed that [Y],23
The [X] had a role that [Y],23
The [X] attended University [Y],23
The [X] attended School and [Y],22
The [X] sent a letter that [Y],22
The [X] made a appearance that [Y],22
The [X] realised that [Y],22
The [X] was critical [Y],21
The [X] said in interview that [Y],21
The [X] went that [Y],21
The [X] described that [Y],20
The [X] died that [Y],20
The [X] attended the University that [Y],20
The [X] agreed that [Y],20
The [X] asked if [Y],20
The [X] observed that [Y],19
The [X] was aware that [Y],19
The [X] attended the School that [Y],19
The [X] joked that [Y],19
The [X] attended College [Y],18
The [X] recounted that [Y],18
The [X] had a relationship that [Y],17
The [X] complained that [Y],17
The [X] alleged that [Y],17
The [X] came that [Y],17
The [X] showed that [Y],17
The [X] estimated that [Y],16
The [X] took the role that [Y],16
The [X] related that [Y],16
The [X] returned that [Y],16
The [X] was interested and [Y],15
The [X] hopped that [Y],15
The [X] speculated that [Y],15
The [X] was the first [Y],15
The [X] held the record that [Y],15
The [X] was successful and [Y],15
The [X] stated in interview that [Y],15
The [X] meant that [Y],14
The [X] fell in love that [Y],14
The [X] clarified that [Y],14
The [X] became involved [Y],14
The [X] recorded that [Y],14
The [X] moved to City that [Y],14
The [X] refused that [Y],14
The [X] was the first that [Y],14
The [X] pointed that [Y],14
The [X] asked him if [Y],13
The [X] spent time [Y],13
The [X] declined that [Y],13
The [X] told her that [Y],13
The [X] asked him [Y],13
The [X] asked that [Y],13
The [X] was unable [Y],12
The [X] was a friend [Y],12
The [X] was the son and [Y],12
The [X] went to School that [Y],12
