template,frequency
"The [X], who learnt about the reactions, is [Y]",1
"The [X], who explored the structures, is [Y]",1
"The [X], who understood the concept, is [Y]",2
"The [X], who identified the structures, is [Y]",1
"The [X], who compared methods, is [Y]",1
"The [X], who applied the knowledge, is [Y]",2
"The [X], who affected the stability, is [Y]",2
"The [X], who gained from areas, is [Y]",2
"The [X], who was essential in any organization, is [Y]",1
"The [X], who equipped soldiers with the skills, is [Y]",1
"The [X], who explored the importance, is [Y]",48
"The [X], who helped to understand soldiers, is [Y]",3
"The [X], who enabled to work soldiers, is [Y]",1
"The [X], who helped safe, is [Y]",2
"The [X], who enhanced discipline, is [Y]",1
"The [X], who improved morale, is [Y]",1
"The [X], who helped to adapt situations, is [Y]",1
"The [X], who involved exercises, is [Y]",1
"The [X], who included activities, is [Y]",4
"The [X], who was essential to endure soldiers, is [Y]",1
"The [X], who involved teaching, is [Y]",4
"The [X], who was essential to understand soldiers, is [Y]",1
"The [X], who was essential, is [Y]",36
"The [X], who involved simulating, is [Y]",1
"The [X], who helped to identify soldiers, is [Y]",1
"The [X], who was essential to manage soldiers, is [Y]",1
"The [X], who was essential to provide soldiers, is [Y]",1
"The [X], who was essential in the military, is [Y]",1
"The [X], who included training, is [Y]",1
"The [X], who included operations, is [Y]",1
"The [X], who was used to evaluate performance, is [Y]",1
"The [X], who learnt about the types, is [Y]",26
"The [X], who was A, is [Y]",1
"The [X], who was the grade, is [Y]",2
"The [X], who represented performance, is [Y]",2
"The [X], who indicated performance, is [Y]",1
"The [X], who was a value, is [Y]",3
"The [X], who earned 12.0 points, is [Y]",1
"The [X], who had policies, is [Y]",2
"The [X], who used a system, is [Y]",2
"The [X], who varied from institution, is [Y]",1
"The [X], who understood performance, is [Y]",1
"The [X], who learnt about the process, is [Y]",20
"The [X], who was a dessert, is [Y]",1
"The [X], who let consider, is [Y]",24
"The [X], who supposed to produce a cream, is [Y]",1
"The [X], who started by, is [Y]",8
"The [X], who churned the mixture, is [Y]",1
"The [X], who froze the mixture, is [Y]",1
"The [X], who supposed to produce a flavor, is [Y]",1
"The [X], who developed a recipe, is [Y]",1
"The [X], who tested the recipe, is [Y]",1
"The [X], who produced the cream, is [Y]",1
"The [X], who was important for anyone, is [Y]",1
"The [X], who appreciated the art, is [Y]",2
"The [X], who was a shelter, is [Y]",1
"The [X], who was types of tents, is [Y]",1
"The [X], who came in sizes, is [Y]",8
"The [X], who was the body, is [Y]",1
"The [X], who provided the space, is [Y]",1
"The [X], who supported maintain, is [Y]",1
"The [X], who was the types of tents, is [Y]",1
"The [X], who protected people from the elements, is [Y]",1
"The [X], who was the components, is [Y]",4
"The [X], who was poles, is [Y]",1
"The [X], who chose the tent, is [Y]",1
"The [X], who considered a tent, is [Y]",1
"The [X], who set a tent, is [Y]",1
"The [X], who was the tent, is [Y]",1
"The [X], who supported for a tent, is [Y]",1
"The [X], who was essential for anyone, is [Y]",12
"The [X], who enjoyed a experience, is [Y]",1
"The [X], who provided shelter, is [Y]",1
"The [X], who learnt about the basics, is [Y]",30
"The [X], who covered the topics, is [Y]",33
"The [X], who was JavaScript, is [Y]",4
"The [X], who used JavaScript, is [Y]",1
"The [X], who installed a environment, is [Y]",3
"The [X], who worked with variables, is [Y]",1
"The [X], who worked with arrays, is [Y]",1
"The [X], who created animations, is [Y]",2
"The [X], who was a language, is [Y]",10
"The [X], who was reasons, is [Y]",11
"The [X], who allowed pages, is [Y]",1
"The [X], who was used to make readers, is [Y]",1
"The [X], who enhanced can create Experience, is [Y]",1
"The [X], who crawled can improve content, is [Y]",1
"The [X], who needed to install an environment, is [Y]",1
"The [X], who was options, is [Y]",4
"The [X], who clicked on Settings, is [Y]",1
"The [X], who clicked on JavaScript, is [Y]",1
"The [X], who clicked on Content, is [Y]",1
"The [X], who made, is [Y]",2
"The [X], who consisted of two parts, is [Y]",1
"The [X], who was written in a file, is [Y]",1
"The [X], who hered an example, is [Y]",14
"The [X], who headed >, is [Y]",2
"The [X], who defined a function, is [Y]",2
"The [X], who called the function, is [Y]",1
"The [X], who was tools for, is [Y]",2
"The [X], who was some structures, is [Y]",1
"The [X], who was used to iterate a task, is [Y]",1
"The [X], who was similar to loops, is [Y]",1
"The [X], who was used to store values, is [Y]",2
"The [X], who was blocks of code, is [Y]",1
"The [X], who returned a, is [Y]",1
"The [X], who was used to group, is [Y]",1
"The [X], who was old, is [Y]",1
"The [X], who was used to store collections, is [Y]",1
"The [X], who was actions, is [Y]",1
"The [X], who was used to handle these events, is [Y]",1
"The [X], who was used to create pages, is [Y]",2
"The [X], who was used to create these effects, is [Y]",1
"The [X], who provided examples of each topic, is [Y]",1
"The [X], who was equipped to create pages, is [Y]",1
"The [X], who looked at the history, is [Y]",2
"The [X], who held in 1984, is [Y]",1
"The [X], who was a time, is [Y]",4
"The [X], who was an part of, is [Y]",12
"The [X], who was difficult to fight, is [Y]",1
"The [X], who was full of examples, is [Y]",1
"The [X], who faced threats, is [Y]",2
"The [X], who refused to give seat, is [Y]",1
"The [X], who spoke dangerous to do, is [Y]",1
"The [X], who was shot in the head, is [Y]",1
"The [X], who was important to stand, is [Y]",1
"The [X], who was some ways, is [Y]",11
"The [X], who learnt about the importance, is [Y]",68
"The [X], who explored the history, is [Y]",7
"The [X], who looked at examples, is [Y]",6
"The [X], who became individuals, is [Y]",1
"The [X], who was Wetlands, is [Y]",1
"The [X], who was ecosystems, is [Y]",2
"The [X], who was home to a variety, is [Y]",1
"The [X], who played an role, is [Y]",12
"The [X], who was types of wetlands, is [Y]",1
"The [X], who was wetlands, is [Y]",1
"The [X], who was important for reasons, is [Y]",3
"The [X], who provided habitat for a range, is [Y]",1
"The [X], who helped to filter pollutants, is [Y]",1
"The [X], who served as sources, is [Y]",1
"The [X], who worked by the water, is [Y]",1
"The [X], who helped to clean the water, is [Y]",1
"The [X], who helped to prevent erosion, is [Y]",1
"The [X], who regulated the flow, is [Y]",1
"The [X], who was found in the Everglades, is [Y]",1
"The [X], who was found in the rainforest, is [Y]",1
"The [X], who appreciated value, is [Y]",4
"The [X], who was a asset, is [Y]",2
"The [X], who explored the concept, is [Y]",29
"The [X], who discussed the factors, is [Y]",2
"The [X], who was Estate, is [Y]",3
"The [X], who referred to land, is [Y]",1
"The [X], who was a form of property, is [Y]",3
"The [X], who was divided into two categories, is [Y]",1
"The [X], who included homes, is [Y]",6
"The [X], who included buildings, is [Y]",8
"The [X], who was one of the factors, is [Y]",4
"The [X], who tended valuable than those, is [Y]",3
"The [X], who was another factor, is [Y]",2
"The [X], who was valuable than ones, is [Y]",2
"The [X], who played a role, is [Y]",47
"The [X], who was likely to be repairs, is [Y]",1
"The [X], who was methods for the estate, is [Y]",2
"The [X], who was willing to pay, is [Y]",1
"The [X], who was the amount, is [Y]",1
"The [X], who was used to estimate the value, is [Y]",1
"The [X], who helped decisions, is [Y]",17
"The [X], who used for purposes, is [Y]",2
"The [X], who was a GAM, is [Y]",1
"The [X], who was a model, is [Y]",2
"The [X], who was composed of a sum, is [Y]",1
"The [X], who was chosen based ability, is [Y]",1
"The [X], who was linear can using functions, is [Y]",1
"The [X], who used a GAM, is [Y]",1
"The [X], who was useful, is [Y]",9
"The [X], who was used variables, is [Y]",1
"The [X], who was used to model data, is [Y]",1
"The [X], who fitted a GAM, is [Y]",1
"The [X], who needed to specify the functions, is [Y]",1
"The [X], who needed relevant to the analysis, is [Y]",1
"The [X], who fitted the GAM, is [Y]",1
"The [X], who considered a dataset, is [Y]",1
"The [X], who wanted the relationships between these variables, is [Y]",1
"The [X], who used to create a transformation, is [Y]",1
"The [X], who used to combine a function, is [Y]",1
"The [X], who was tools for response, is [Y]",1
"The [X], who was fit can model packages, is [Y]",1
"The [X], who gained insights into the relationships, is [Y]",1
"The [X], who was crucial, is [Y]",20
"The [X], who was secure, is [Y]",2
"The [X], who was important, is [Y]",129
"The [X], who featured that, is [Y]",1
"The [X], who was a venue, is [Y]",2
"The [X], who was some features, is [Y]",3
"The [X], who was some amenities, is [Y]",1
"The [X], who was some location, is [Y]",1
"The [X], who was some venue, is [Y]",2
"The [X], who was essential for success, is [Y]",6
"The [X], who found the venue, is [Y]",1
"The [X], who remembered to prioritize management, is [Y]",1
"The [X], who was better to spend money, is [Y]",1
"The [X], who had to compromise, is [Y]",1
"The [X], who was worth, is [Y]",3
"The [X], who covered topics, is [Y]",11
"The [X], who remembered to prioritize these factors, is [Y]",1
"The [X], who planned an event, is [Y]",2
"The [X], who learnt about the concept, is [Y]",2
"The [X], who explored to have what, is [Y]",1
"The [X], who looked at some examples, is [Y]",5
"The [X], who was Expectation, is [Y]",1
"The [X], who was considered legitimate, is [Y]",1
"The [X], who arose in a variety, is [Y]",1
"The [X], who had a expectation, is [Y]",3
"The [X], who was Relyed Upon, is [Y]",1
"The [X], who was relied upon the circumstances, is [Y]",1
"The [X], who was important to note, is [Y]",1
"The [X], who was clear, is [Y]",3
"The [X], who applied for a job, is [Y]",1
"The [X], who had would graduate a expectation, is [Y]",1
"The [X], who lied in the fact, is [Y]",1
"The [X], who helped to maintain the integrity, is [Y]",1
"The [X], who was a principle, is [Y]",1
"The [X], who appreciated the importance, is [Y]",17
"The [X], who used evidence from the lesson, is [Y]",3
"The [X], who learnt about files, is [Y]",2
"The [X], who explored can create the sizes, is [Y]",2
"The [X], who was Figures, is [Y]",1
"The [X], who referred to the pieces, is [Y]",1
"The [X], who included the king, is [Y]",1
"The [X], who was used to create designs, is [Y]",1
"The [X], who allowed for cutting, is [Y]",1
"The [X], who was four types of files, is [Y]",1
"The [X], who was used to communicate, is [Y]",1
"The [X], who chose the size, is [Y]",3
"The [X], who was three sizes, is [Y]",1
"The [X], who was larger than the ones, is [Y]",1
"The [X], who depended on the outcome, is [Y]",1
"The [X], who was materials, is [Y]",3
"The [X], who created the design, is [Y]",1
"The [X], who included the details, is [Y]",1
"The [X], who was loaded into the machine, is [Y]",1
"The [X], who cut the material, is [Y]",1
"The [X], who was done to damaging the material, is [Y]",1
"The [X], who was assembled a set, is [Y]",1
"The [X], who involved attaching, is [Y]",2
"The [X], who created designs, is [Y]",2
"The [X], who learnt about accessories, is [Y]",1
"The [X], who covered the types, is [Y]",2
"The [X], who was items, is [Y]",2
"The [X], who came in forms, is [Y]",3
"The [X], who served a purpose, is [Y]",1
"The [X], who varied depending the type, is [Y]",7
"The [X], who was designed to provide a experience, is [Y]",1
"The [X], who was used to control the flow, is [Y]",1
"The [X], who was used to keep towels, is [Y]",1
"The [X], who served as a item, is [Y]",1
"The [X], who depended on factors, is [Y]",3
"The [X], who was some accessories, is [Y]",1
"The [X], who considered the style, is [Y]",2
"The [X], who wanted simple, is [Y]",1
"The [X], who thought about preferences, is [Y]",1
"The [X], who preferred a look, is [Y]",1
"The [X], who preferred fixtures, is [Y]",1
"The [X], who determined budget, is [Y]",4
"The [X], who ranged in price, is [Y]",3
"The [X], who decided to spend much, is [Y]",1
"The [X], who said to add bathroom, is [Y]",1
"The [X], who chose a showerhead, is [Y]",1
"The [X], who added a mirror, is [Y]",1
"The [X], who learnt to create a board, is [Y]",2
"The [X], who went to www.pinterest.com, is [Y]",1
"The [X], who entered address, is [Y]",1
"The [X], who filled the rest, is [Y]",1
"The [X], who clicked on Pinterest, is [Y]",1
"The [X], who logged, is [Y]",1
"The [X], who chose Create, is [Y]",1
"The [X], who entered a name, is [Y]",1
"The [X], who clicked on Create, is [Y]",1
"The [X], who added Pins to Board, is [Y]",1
"The [X], who clicked on the icon, is [Y]",1
"The [X], who selected an image, is [Y]",1
"The [X], who added a description, is [Y]",1
"The [X], who clicked on it, is [Y]",1
"The [X], who added, is [Y]",1
"The [X], who chose Move to another board, is [Y]",1
"The [X], who selected the board, is [Y]",1
"The [X], who clicked on Done, is [Y]",1
"The [X], who used to Learn Pinterest, is [Y]",1
"The [X], who was used in, is [Y]",1
"The [X], who created a board, is [Y]",1
"The [X], who gathered information on a topic, is [Y]",1
"The [X], who used to explore this skill, is [Y]",1
"The [X], who was a type of menu, is [Y]",1
"The [X], who became popular in the industry, is [Y]",1
"The [X], who explored important, is [Y]",3
"The [X], who was a Menu, is [Y]",2
"The [X], who was an version of a menu, is [Y]",2
"The [X], who was advantages of a menu, is [Y]",1
"The [X], who required any paper, is [Y]",1
"The [X], who was updated, is [Y]",1
"The [X], who was interactive, is [Y]",2
"The [X], who was customized to fit the needs, is [Y]",1
"The [X], who was translated into languages, is [Y]",1
"The [X], who accessed the menu, is [Y]",1
"The [X], who was presented in ways, is [Y]",1
"The [X], who was benefits to a menu, is [Y]",1
"The [X], who increased sales by, is [Y]",1
"The [X], who improved the experience, is [Y]",3
"The [X], who reduced costs by the paper, is [Y]",1
"The [X], who required some planning, is [Y]",1
"The [X], who was some steps, is [Y]",7
"The [X], who chose a platform, is [Y]",2
"The [X], who was a website, is [Y]",3
"The [X], who designed the menu, is [Y]",1
"The [X], who designed appealing to use the menu, is [Y]",1
"The [X], who made sure, is [Y]",8
"The [X], who tested the menu, is [Y]",2
"The [X], who offered friendly to update benefits, is [Y]",1
"The [X], who was an Gallery, is [Y]",1
"The [X], who was a space, is [Y]",1
"The [X], who served as platforms, is [Y]",1
"The [X], who displayed types, is [Y]",1
"The [X], who featured art, is [Y]",1
"The [X], who contributed to the appreciation, is [Y]",1
"The [X], who helped to preserve heritage, is [Y]",1
"The [X], who was a experience, is [Y]",5
"The [X], who was some most, is [Y]",1
"The [X], who researched the gallery, is [Y]",1
"The [X], who was quiet, is [Y]",1
"The [X], who took time, is [Y]",5
"The [X], who tried to understand the message, is [Y]",1
"The [X], who forgot to ask questions, is [Y]",1
"The [X], who was essential to the world, is [Y]",1
"The [X], who experienced types, is [Y]",1
"The [X], who visited gallery, is [Y]",1
"The [X], who learnt to calculate wavelengths, is [Y]",2
"The [X], who used to determine the information, is [Y]",1
"The [X], who was the distance between the slits, is [Y]",1
"The [X], who was the angle of diffraction, is [Y]",1
"The [X], who was given the information, is [Y]",1
"The [X], who was used in a spectrometer, is [Y]",1
"The [X], who was examined over the range, is [Y]",1
"The [X], who used to calculate the equation, is [Y]",1
"The [X], who needed to find the order, is [Y]",1
"The [X], who did this by the values, is [Y]",1
"The [X], who let start, is [Y]",4
"The [X], who pluged these values, is [Y]",1
"The [X], who solved for \lambda$, is [Y]",1
"The [X], who was 400 nm, is [Y]",1
"The [X], who repeated this process, is [Y]",1
"The [X], who applied this method, is [Y]",2
"The [X], who used to analyze this knowledge, is [Y]",1
"The [X], who understood Statistics, is [Y]",1
"The [X], who enhanced enjoyment, is [Y]",1
"The [X], who learnt about some statistics, is [Y]",1
"The [X], who was one of the statistics, is [Y]",1
"The [X], who told successful, is [Y]",1
"The [X], who reached base, is [Y]",1
"The [X], who was awarded base, is [Y]",3
"The [X], who was successful, is [Y]",1
"The [X], who was another statistic in baseball, is [Y]",1
"The [X], who was a measure of a ability, is [Y]",1
"The [X], who was a statistic, is [Y]",1
"The [X], who was defined as the number, is [Y]",1
"The [X], who told us, is [Y]",2
"The [X], who learnt three statistics, is [Y]",1
"The [X], who saw each information, is [Y]",1
"The [X], who analyzed the game, is [Y]",1
"The [X], who was Science, is [Y]",1
"The [X], who was an field, is [Y]",10
"The [X], who was with, is [Y]",1
"The [X], who used to study methods, is [Y]",1
"The [X], who helped the world, is [Y]",4
"The [X], who provided insights into countries, is [Y]",1
"The [X], who helped events, is [Y]",2
"The [X], who was used in ways, is [Y]",3
"The [X], who provided advice, is [Y]",4
"The [X], who used to predict models, is [Y]",4
"The [X], who analyzed events, is [Y]",1
"The [X], who taught at universities, is [Y]",1
"The [X], who helped society, is [Y]",1
"The [X], who became citizens, is [Y]",2
"The [X], who was two procedures, is [Y]",1
"The [X], who was to educate students, is [Y]",2
"The [X], who discussed the options, is [Y]",2
"The [X], who was a restoration, is [Y]",1
"The [X], who knew as a cap, is [Y]",1
"The [X], who was used to restore the function, is [Y]",1
"The [X], who restored the function, is [Y]",3
"The [X], who improved the esthetics, is [Y]",1
"The [X], who strengthened a tooth, is [Y]",1
"The [X], who protected a tooth, is [Y]",1
"The [X], who was used for crowns, is [Y]",1
"The [X], who was a device, is [Y]",7
"The [X], who consisted of a tooth, is [Y]",1
"The [X], who was used to replace teeth, is [Y]",1
"The [X], who replaced teeth, is [Y]",1
"The [X], who improved the appearance, is [Y]",2
"The [X], who prevented the teeth, is [Y]",1
"The [X], who was attached to the teeth, is [Y]",1
"The [X], who was used to enhance the functionality, is [Y]",1
"The [X], who was attached to crowns, is [Y]",1
"The [X], who enhanced the stability, is [Y]",1
"The [X], who provided a replacement, is [Y]",1
"The [X], who made decisions, is [Y]",75
"The [X], who explored the dangers, is [Y]",1
"The [X], who learnt about the risks, is [Y]",1
"The [X], who discussed the importance, is [Y]",23
"The [X], who knew as cancer, is [Y]",1
"The [X], who remained, is [Y]",1
"The [X], who helped to prevent diseases, is [Y]",2
"The [X], who was important for health, is [Y]",2
"The [X], who limited intake, is [Y]",1
"The [X], who used food as an crutch, is [Y]",1
"The [X], who lost 70 kg, is [Y]",1
"The [X], who learnt about the dangers, is [Y]",1
"The [X], who explored the term, is [Y]",1
"The [X], who maintained health, is [Y]",1
"The [X], who was based on the principles, is [Y]",2
"The [X], who was a religion, is [Y]",2
"The [X], who was Judaism, is [Y]",1
"The [X], who was based on the belief, is [Y]",2
"The [X], who was the beliefs, is [Y]",1
"The [X], who was one God, is [Y]",1
"The [X], who gave the law, is [Y]",1
"The [X], who was responsible for the Torah, is [Y]",1
"The [X], who believed in the concept, is [Y]",1
"The [X], who was the figures in Judaism, is [Y]",1
"The [X], who worshipped in synagogues, is [Y]",1
"The [X], who observed the day of rest, is [Y]",1
"The [X], who refrained from, is [Y]",1
"The [X], who was some holidays, is [Y]",1
"The [X], who learnt about beliefs, is [Y]",1
"The [X], who learnt about the laws, is [Y]",1
"The [X], who appreciated significance, is [Y]",1
"The [X], who chose the Service, is [Y]",1
"The [X], who was a event for students, is [Y]",1
"The [X], who discussed to choose the service, is [Y]",1
"The [X], who was to help decisions, is [Y]",1
"The [X], who was available, is [Y]",8
"The [X], who found a service, is [Y]",2
"The [X], who looked for, is [Y]",1
"The [X], who was types of services, is [Y]",3
"The [X], who looked for a company, is [Y]",1
"The [X], who supposed you, is [Y]",1
"The [X], who started by service, is [Y]",1
"The [X], who looked at the website, is [Y]",1
"The [X], who checked reviews, is [Y]",2
"The [X], who compared services, is [Y]",1
"The [X], who considered services, is [Y]",1
"The [X], who knew which choice for me, is [Y]",1
"The [X], who created a list, is [Y]",3
"The [X], who considered factors, is [Y]",6
"The [X], who considered budget, is [Y]",1
"The [X], who supposed search, is [Y]",1
"The [X], who compared affordable, is [Y]",1
"The [X], who looked at reviews, is [Y]",2
"The [X], who made an decision, is [Y]",6
"The [X], who booked a service, is [Y]",1
"The [X], who needed to provide a service, is [Y]",1
"The [X], who needed to provide the company, is [Y]",2
"The [X], who provided the company, is [Y]",2
"The [X], who included the number, is [Y]",1
"The [X], who communicated clearly with the company, is [Y]",1
"The [X], who supposed ready to book a service, is [Y]",1
"The [X], who wanted to provide the company, is [Y]",1
"The [X], who provided you with a confirmation, is [Y]",1
"The [X], who made the difference, is [Y]",3
"The [X], who learnt to identify items, is [Y]",2
"The [X], who was hard to find, is [Y]",1
"The [X], who found in locations, is [Y]",1
"The [X], who was the Skull, is [Y]",1
"The [X], who was found, is [Y]",1
"The [X], who was found Rattlers, is [Y]",1
"The [X], who was the artifact, is [Y]",1
"The [X], who used it to advantage, is [Y]",1
"The [X], who was an artifact for combat, is [Y]",1
"The [X], who improved the players, is [Y]",1
"The [X], who was Thinking, is [Y]",3
"The [X], who was the process of, is [Y]",24
"The [X], who involved questioning, is [Y]",3
"The [X], who was an skill for success, is [Y]",1
"The [X], who improved makers, is [Y]",1
"The [X], who was cute, is [Y]",1
"The [X], who allowed validity, is [Y]",1
"The [X], who possessed the qualities, is [Y]",1
"The [X], who was any exceptions to this rule, is [Y]",1
"The [X], who evaluated sources, is [Y]",2
"The [X], who considered the credibility, is [Y]",1
"The [X], who understood the world, is [Y]",3
"The [X], who was important in academics, is [Y]",1
"The [X], who was able to evaluate arguments, is [Y]",1
"The [X], who asked probing, is [Y]",1
"The [X], who considered a debate, is [Y]",1
"The [X], who presented the choice for office, is [Y]",1
"The [X], who evaluated the strengths, is [Y]",1
"The [X], who was an part of any work, is [Y]",1
"The [X], who gave credit, is [Y]",2
"The [X], who learnt to create citations, is [Y]",1
"The [X], who was Machine, is [Y]",1
"The [X], who was an tool, is [Y]",6
"The [X], who was a tool, is [Y]",28
"The [X], who used Machine, is [Y]",2
"The [X], who followed these steps, is [Y]",23
"The [X], who went to the website, is [Y]",3
"The [X], who selected to use the style, is [Y]",1
"The [X], who entered the information, is [Y]",1
"The [X], who clicked on the button, is [Y]",4
"The [X], who appeared on the screen, is [Y]",1
"The [X], who copied the citation, is [Y]",1
"The [X], who had benefits, is [Y]",12
"The [X], who used to generate Machine, is [Y]",1
"The [X], who was easy to use, is [Y]",2
"The [X], who was a tool for styles, is [Y]",1
"The [X], who used to create Machine, is [Y]",1
"The [X], who remembered to give credit, is [Y]",1
"The [X], who learnt about the ways, is [Y]",1
"The [X], who explored the role, is [Y]",10
"The [X], who was types of jobs, is [Y]",1
"The [X], who was places, is [Y]",1
"The [X], who had a service, is [Y]",1
"The [X], who offered a variety, is [Y]",5
"The [X], who prepared for the Market, is [Y]",1
"The [X], who was essential to develop a letter, is [Y]",1
"The [X], who was important to practice skills, is [Y]",1
"The [X], who was a tool in, is [Y]",1
"The [X], who said good, is [Y]",1
"The [X], who sent to employers, is [Y]",1
