template,frequency
"The [X], who took part in the raids, is [Y]",1
"The [X], who said the use, is [Y]",1
"The [X], who focussed on 10 suspects, is [Y]",1
"The [X], who eased measures, is [Y]",1
"The [X], who registered number, is [Y]",1
"The [X], who registered 330 cases, is [Y]",1
"The [X], who published, is [Y]",9
"The [X], who updated on October, is [Y]",2
"The [X], who said was escape, is [Y]",1
"The [X], who was charged with manslaughter, is [Y]",1
"The [X], who opened in Hartford, is [Y]",1
"The [X], who was told the woman, is [Y]",1
"The [X], who said shooting, is [Y]",1
"The [X], who ran for cover, is [Y]",1
"The [X], who looked for three people, is [Y]",1
"The [X], who said this same without her, is [Y]",1
"The [X], who loved mom, is [Y]",1
"The [X], who came by, is [Y]",1
"The [X], who talked with Smith, is [Y]",1
"The [X], who said officials, is [Y]",1
"The [X], who said to teach kids, is [Y]",1
"The [X], who needed to figure a gun, is [Y]",1
"The [X], who made EU, is [Y]",1
"The [X], who was the point, is [Y]",2
"The [X], who was a question, is [Y]",3
"The [X], who was in it, is [Y]",1
"The [X], who was under no illusion, is [Y]",1
"The [X], who ended a banks, is [Y]",1
"The [X], who lost appeal, is [Y]",1
"The [X], who was much of a point, is [Y]",1
"The [X], who had Do Go a history, is [Y]",1
"The [X], who added a dose, is [Y]",1
"The [X], who alluded to what, is [Y]",1
"The [X], who caused him, is [Y]",1
"The [X], who was spot on either mode, is [Y]",1
"The [X], who was built for listens, is [Y]",1
"The [X], who knew worth, is [Y]",1
"The [X], who revealed Fulfilled, is [Y]",1
"The [X], who was kindred within all Ajabel, is [Y]",1
"The [X], who accorded to A celestial, is [Y]",1
"The [X], who was a savior as the bringer, is [Y]",1
"The [X], who was a child by the family, is [Y]",1
"The [X], who learnt the mysteries, is [Y]",1
"The [X], who continued education, is [Y]",2
"The [X], who became a representative of the one, is [Y]",1
"The [X], who became unattached to the teachings, is [Y]",1
"The [X], who became religious by the will, is [Y]",1
"The [X], who was righteous, is [Y]",1
"The [X], who rejected it, is [Y]",2
"The [X], who did, is [Y]",41
"The [X], who braked a twig, is [Y]",1
"The [X], who lifted a rock, is [Y]",1
"The [X], who was by Paul, is [Y]",1
"The [X], who began process, is [Y]",1
"The [X], who was changed to Sunday, is [Y]",1
"The [X], who rose, is [Y]",11
"The [X], who meant abandoned, is [Y]",1
"The [X], who was Jesus, is [Y]",2
"The [X], who contradicted teachings, is [Y]",1
"The [X], who was a plan, is [Y]",1
"The [X], who was pure, is [Y]",2
"The [X], who took, is [Y]",14
"The [X], who was revealed in the year, is [Y]",1
"The [X], who was from Anu, is [Y]",1
"The [X], who meant good from Gudan, is [Y]",1
"The [X], who used as the term, is [Y]",1
"The [X], who programmed brain, is [Y]",1
"The [X], who was changed from Yeshua, is [Y]",1
"The [X], who was by this hell, is [Y]",1
"The [X], who called heaven, is [Y]",1
"The [X], who was Rescue, is [Y]",1
"The [X], who lived on, is [Y]",1
"The [X], who passed, is [Y]",11
"The [X], who mayed, is [Y]",12
"The [X], who affected this world, is [Y]",1
"The [X], who was used to deploy troops, is [Y]",1
"The [X], who revealed this action, is [Y]",1
"The [X], who was the Afropop for Cameroon, is [Y]",1
"The [X], who took Silver at the IWSC, is [Y]",1
"The [X], who presented GREENS, is [Y]",1
"The [X], who announced Program, is [Y]",1
"The [X], who brought a excitement, is [Y]",1
"The [X], who seemed to offer opportunities, is [Y]",1
"The [X], who was soon in the grip, is [Y]",1
"The [X], who was one of Zweigs, is [Y]",1
"The [X], who was born in Vienna, is [Y]",1
"The [X], who studied in Berlin, is [Y]",1
"The [X], who travelled the bestseller with a string, is [Y]",1
"The [X], who moved to London, is [Y]",1
"The [X], who moved citizenship, is [Y]",1
"The [X], who leaved Britain for York, is [Y]",1
"The [X], who was available from Press, is [Y]",1
"The [X], who resembled Mannerism, is [Y]",1
"The [X], who borrowed from sources, is [Y]",1
"The [X], who studied with father, is [Y]",1
"The [X], who succeeded Barbari, is [Y]",1
"The [X], who was the Trials of Triptych, is [Y]",1
"The [X], who painted versions, is [Y]",1
"The [X], who was the V, is [Y]",1
"The [X], who designed a Hunt of series, is [Y]",1
"The [X], who was nothing without the gift, is [Y]",1
"The [X], who ran onto the field, is [Y]",1
"The [X], who tackled an player, is [Y]",1
"The [X], who walked on the sidelines, is [Y]",1
"The [X], who refused to let career, is [Y]",1
"The [X], who tried to pick helmet, is [Y]",1
"The [X], who came off the field, is [Y]",1
"The [X], who wanted the thing, is [Y]",1
"The [X], who wanted to seem, is [Y]",1
"The [X], who leaved to rest the stadium, is [Y]",1
"The [X], who told him, is [Y]",3
"The [X], who was devastating for him, is [Y]",1
"The [X], who leaved to feel him, is [Y]",1
